"wt.1.NC13.opaKD1.23003FL.09.01.25"	"ac.1.NC13.opaKD1.23003FL.09.01.26"	"dsred.2.NC13.opaKD1.23003FL.09.01.27"	"opa.2.NC13.opaKD1.23003FL.09.01.28"	"opa.3.NC13.opaKD1.23003FL.09.01.29"	"opa.4.NC13.opaKD1.23003FL.09.01.30"	"wt.2.NC13.opaKD3.23003FL.09.02.05"	"ac.2.NC13.opaKD3.23003FL.09.02.06"	"dsred.3.NC13.opaKD3.23003FL.09.02.07"	"dsred.4.NC13.opaKD3.23003FL.09.02.08"	"opa.5.NC13.opaKD3.23003FL.09.02.09"	"wt.3.NC13.opaKD4.23003FL.09.02.13"	"ac.3.NC13.opaKD4.23003FL.09.02.14"	"ac.4.NC13.opaKD4.23003FL.09.02.15"	"opa.6.NC13.opaKD4.23003FL.09.02.16"	"opa.7.NC13.opaKD4.23003FL.09.02.17"	"opa.8.NC13.opaKD4.23003FL.09.02.18"	"opa.9.NC13.opaKD4.23003FL.09.02.19"
"evm.TU.scaffold_1.111"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1110"	61	78	62	51	120	110	31	77	19	18	36	17	250	186	128	113	125	141
"evm.TU.scaffold_1.1111"	864	1005	654	1290	870	958	435	910	973	834	1267	700	873	791	1132	927	1179	1464
"evm.TU.scaffold_1.1112"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1113"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1114"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1115"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1116"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1117"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1118"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1119"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1120"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1121"	1	0	0	0	6	0	1	0	7	3	7	17	0	0	0	1	0	0
"evm.TU.scaffold_1.1122"	0	0	0	0	0	0	0	0	9	7	8	18	0	0	0	0	0	0
"evm.TU.scaffold_1.1123"	0	0	0	5	0	3	0	0	4	5	0	7	0	3	6	0	0	15
"evm.TU.scaffold_1.1124"	5	3	14	13	6	2	0	3	0	0	2	1	15	0	9	0	18	0
"evm.TU.scaffold_1.1125"	95	185	139	230	95	88	1	26	13	26	24	5	198	114	74	12	35	36
"evm.TU.scaffold_1.1126_evm.TU.scaffold_1.1127"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1128"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1129"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.113"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1130"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1131"	37	56	7	48	42	31	39	43	56	59	37	45	46	32	17	28	77	122
"evm.TU.scaffold_1.1132"	0	3	1	5	1	0	1	0	0	0	9	0	5	0	3	0	5	0
"evm.TU.scaffold_1.1133"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1134"	13296	16869	8707	18006	11864	16582	13154	12905	18425	13314	16682	16072	14343	14308	13233	9031	10465	8782
