"wt.1.NC12.opaKD2.23003FL.06.01.18"	"ac.1.NC12.opaKD2.23003FL.06.01.19"	"dsred.1.NC12.opaKD2.23003FL.06.01.20"	"opa.1.NC12.opaKD2.23003FL.06.01.21"	"wt.2.NC12.opaKD5.23003FL.06.01.35"	"ac.2.NC12.opaKD5.23003FL.06.01.36"	"dsred.2.NC12.opaKD5.23003FL.06.01.37"	"dsred.3.NC12.opaKD5.23003FL.06.01.38"	"opa.3.NC12.opaKD5.23003FL.06.01.40"	"opa.5.NC12.opaKD5.23003FL.06.01.42"	"ac.3.NC12.opaKD6.23003FL.06.01.44"	"ac.4.NC12.opaKD6.23003FL.06.01.45"	"opa.6.NC12.opaKD6.23003FL.06.01.46"	"opa.7.NC12.opaKD6.23003FL.06.01.47"	"opa.8.NC12.opaKD6.23003FL.06.01.48"
"scaffold_1:3728688-3728793"	37	17	7	31	35	6	36	52	52	30	23	13	42	25	30
"scaffold_1:3732361-3732463"	43	22	7	22	10	16	35	24	31	11	28	10	41	24	38
"scaffold_1:3752025-3752167"	16	10	1	12	7	4	10	18	18	15	14	6	25	18	18
"scaffold_1:3771485-3771762"	69	49	23	36	22	30	103	63	111	37	34	29	87	96	75
"scaffold_1:3776443-3776532"	16	7	7	14	12	3	9	4	14	0	7	12	14	10	7
"scaffold_1:3815018-3815174"	30	25	5	16	22	11	43	51	32	17	26	17	30	46	39
"scaffold_1:3822968-3823046"	5	7	4	12	6	8	15	19	5	4	6	8	3	7	19
"scaffold_1:3832196-3832515"	26	26	10	27	18	21	42	71	45	9	14	19	50	32	48
"scaffold_1:3845029-3845259"	32	23	14	20	20	26	39	67	37	13	33	10	39	35	35
"scaffold_1:3851391-3851594"	46	37	14	42	16	13	28	81	29	17	31	14	56	38	40
"scaffold_1:3894667-3894951"	42	35	5	32	17	9	51	42	67	22	35	32	92	82	62
"scaffold_1:3908678-3908761"	7	2	1	12	5	6	6	13	4	9	11	2	2	11	11
"scaffold_1:3916802-3916900"	8	11	6	15	6	9	14	6	10	1	6	0	19	12	15
"scaffold_1:3917242-3917325"	10	11	7	15	3	5	11	19	8	4	9	3	21	10	17
"scaffold_1:3921969-3922073"	19	13	6	22	3	7	27	25	18	4	15	14	18	12	33
"scaffold_1:3934377-3934507"	16	11	5	38	7	8	25	21	24	7	10	12	26	41	20
